,en,ko,type
3864,residential,주거,adj
3871,nonprofit,비영리 단체,adj
3874,handsome,멋있는,adj
3879,promising,유망한,adj
3880,conscious,의식하는,adj
3890,evil,사악한,adj
3903,teenage,십대,adj
3909,decent,품위 있는,adj
3911,oral,경구,adj
3920,generous,관대한,adj
3929,purple,자주색,adj
3931,bold,굵게,adj
3932,reluctant,주저하는,adj
3966,judicial,사법,adj
3969,full-time,풀 타임,adj
3975,regulatory,규제,adj
3976,diplomatic,외교,adj
3977,elegant,우아한,adj
3988,interior,내부,adj
3990,casual,평상복,adj
4004,productive,생산적인,adj
4006,civic,시민,adj
4009,steep,험한,adj
4015,dynamic,동적,adj
4016,scary,무서운,adj
4025,disappointed,실망한,adj
4026,precious,귀중한,adj
4028,representative,대표,adj
4029,content,콘텐츠,adj
4030,realistic,현실적입니다,adj
4032,hidden,숨겨진,adj
4034,tender,부드러운,adj
4037,outstanding,훌륭해,adj
4039,lonely,외로운,adj
4041,artificial,인공의,adj
4043,abstract,요약,adj
4045,silly,바보 같은,adj
4048,shared,공유,adj
4052,revolutionary,혁명적,adj
4071,rear,뒤쪽,adj
4074,coastal,연안의,adj
4078,burning,타고 있는,adj
4079,verbal,언어 적,adj
4080,tribal,부족,adj
4081,ridiculous,말도 안 되는,adj
4082,automatic,자동적 인,adj
4089,divine,신성한,adj
4097,Dutch,네덜란드 사람,adj
4102,Greek,그리스 어,adj
4117,talented,재간 있는,adj
4119,stiff,뻣뻣한,adj
4122,extended,펼친,adj
4126,toxic,독성,adj
4127,alleged,주장 된,adj
4130,mysterious,신비한,adj
4141,parental,부모,adj
4151,protective,보호,adj
4154,faint,희미한,adj
4161,shallow,얕은,adj
4166,improved,향상,adj
4167,bloody,피의,adj
4169,associated,관련된,adj
4173,near,가까운,adj
4181,optimistic,낙관적인,adj
4197,symbolic,상징적,adj
4204,hostile,적의,adj
4207,combined,결합,adj
4213,mixed,혼합,adj
4219,tropical,열렬한,adj
4234,spectacular,장관,adj
4236,sheer,얇은,adj
4237,prior,이전의,adj
4238,immune,면역성 있는,adj
4243,exotic,이국적인,adj
4244,fascinating,매력적인,adj
4245,secure,안전한,adj
4254,ideological,이데올로기,adj
4256,secular,속가,adj
4257,intimate,친밀한,adj
4263,neutral,중립적,adj
4265,flexible,유연한,adj
4266,progressive,진보적,adj
4273,terrific,훌륭한,adj
4275,functional,기능의,adj
4288,cooperative,협력적인,adj
4299,tragic,비참한,adj
4308,underlying,밑에 있는,adj
4318,sexy,섹시한,adj
4328,costly,비용이 많이 들었습니다,adj
4329,ambitious,거창한,adj
4332,influential,힘 있는,adj
4334,uncertain,불확실한,adj
4337,statistical,통계,adj
4339,metropolitan,대주교,adj
4340,rolling,구르는,adj
4341,aesthetic,미적인,adj
4347,expected,예상되는,adj
4350,royal,왕실의,adj
4356,minimal,최소,adj
4361,anonymous,익명의,adj
4367,instructional,교육,adj
4376,fixed,결정된,adj
4377,experienced,경험이 풍부합니다,adj
4385,upset,속상한,adj
4388,cute,귀엽다,adj
4390,short-term,단기,adj
4394,passing,통과,adj
4397,known,모두 다 아는,adj
4412,encouraging,격려,adj
4421,accessible,얻기 쉬운,adj
4427,dried,건조한,adj
4429,pro,찬성,adj
4444,well-known,잘 알려진,adj
4445,surrounding,주변,adj
4446,ecological,생태 학적,adj
4448,unprecedented,전례 없는,adj
4451,preliminary,예비의,adj
4453,shy,수줍은,adj
4456,disabled,장애가 있는,adj
4457,gross,역겨운,adj
4458,damn,젠장,adj
4463,associate,연관짓다,adj
4482,innovative,혁신적입니다,adj
4489,vertical,세로,adj
4500,instant,즉각적인,adj
4505,required,필수의,adj
4507,colorful,화려한,adj
4520,organizational,조직,adj
4523,nasty,끔찍한,adj
4526,emerging,신흥,adj
4529,fierce,사나운,adj
4531,rational,합리적인,adj
4537,vocal,보컬,adj
4540,unfair,불공정,adj
4543,risky,위험한,adj
4549,depressed,우울한,adj
4551,closest,가장 가까운,adj
4567,supportive,지지 적,adj
4577,informal,비공식,adj
4578,Persian,페르시아 인,adj
4584,perceived,인식,adj
4585,sole,밑창,adj
4594,partial,부분적,adj
4600,added,추가,adj
4618,excessive,과도한,adj
4619,high-tech,하이테크,adj
4623,logical,논리적,adj
4629,blank,공백,adj
4634,dying,사망,adj
4635,developmental,발달,adj
4636,faster,더 빠르게,adj
4646,striking,치는,adj
4652,embarrassed,당황스러운,adj
4653,fucking,빌어 먹을,adj
4655,isolated,외딴,adj
4657,suspicious,의심스러운,adj
4660,eligible,자격이 있는,adj
4667,demographic,인구 통계,adj
4677,intact,손대지 않은,adj
4682,elaborate,정교한,adj
4690,comparable,유사한,adj
4697,awake,깨어 있는,adj
4700,feminist,여권 주장자,adj
4710,dumb,멍청한,adj
4714,philosophical,철학적,adj
4717,municipal,시립,adj
4732,neat,정돈된,adj
4737,mobile,이동하는,adj
4750,brutal,잔인한,adj
4754,voluntary,자발적인,adj
4756,valid,유효한,adj
4768,unhappy,불행한,adj
4770,coming,오는,adj
4773,distinctive,독특합니다,adj
4776,calm,침착한,adj
4782,theological,신학 적,adj
4786,fragile,부서지기 쉬운,adj
4789,old-fashioned,구식,adj
4790,crowded,붐비는,adj
4797,fantastic,환상적입니다,adj
4799,level,수준,adj
4803,liquid,액체,adj
4809,suitable,적합한,adj
4813,cruel,잔혹한,adj
4822,loyal,충실한,adj
4841,rubber,고무,adj
4845,favorable,유리한,adj
4847,veteran,재향 군인,adj
4848,integrated,통합,adj
4868,blond,금발,adj
4876,explicit,명백한,adj
4878,disturbing,방해,adj
4880,magnetic,자기,adj
4883,devastating,지독한,adj
4887,neighboring,이웃,adj
4894,consecutive,연이은,adj
4895,republican,공화주의자,adj
4897,worldwide,세계적인,adj
4907,brave,용감한,adj
4916,dense,밀집한,adj
4919,sunny,맑은,adj
4932,compelling,설득력,adj
4937,troubled,문제가 발생했습니다,adj
4940,balanced,균형이 잡힌,adj
4952,flying,나는,adj
4953,sustainable,지속 가능한,adj
4959,skilled,숙련 된,adj
4960,managing,관리,adj
4962,marine,선박,adj
4964,organized,조직,adj
4967,boring,지루한,adj
4972,fatal,치명적인,adj
4979,inherent,내재 된,adj
4986,selected,선택된,adj
4993,naval,해군,adj
4996,middle-class,중산층,adj
