ko,present,past,future,en,type
갚다,갚아요,갚았어요,갚을 거예요,"to pay back, repay; return; avenge, revenge",verb
데려가다,데려가요,데려갔어요,데레갈 거예요,to take someone away,verb
데려오다,데려와요,데려왔어요,데려올 거예요,"to bring someone with, go and get someone, fetch someone",verb
모시다,모셔요,모셨어요,모실 거예요,"to accompany, take (smb to smth); treat; serve, live with (and help them) (formal)",verb
만나다,만나요,만났어요,만날 거예요,to meet,verb
놀다,놀아요,놀았어요,놀 거예요,to play/hangout,verb
놀리다,놀려요,놀렸어요,놀릴 거예요,"to tease, joke, make fun of; leave something idle, unused",verb
지내다,지내요,지냈어요,지낼 거예요,"to spend time; to pursue; to associate with, get along",verb
사귀다,사귀어요,사귀었어요,사귈 거예요,"to date, go out (with); make friends with, keep company with",verb
느끼다,느껴요,느꼈어요,느낄 거예요,"to feel, experience; sense, realize, become aware of; think, know",verb
느껴지다,느껴져요,느껴졌어요,느껴질 거예요,"to feel (become [feeling]get[feeling]); become impressed, be moved",verb
해보다,해봐요,해봤어요,해볼 거예요,"to try, give it a chance; to experience; fight",verb
겪다,겪어요,겪었어요,겪을 거예요,"to undergo, suffer, go through, experience (something difficult or important) (common); get to know",verb
익숙해지다,익숙해져요,익숙해졌어요,익숙해질 거예요,"to get used to, become experience, get familiar (with)",verb
기다리다,기다려요,기다렸어요,기다릴 거예요,to wait,verb
늦다,늦어요,늦었어요,늦을 거예요,to be late,verb
걸리다,걸려요,걸렸어요,걸릴 거예요,to take time; be caught; be hung,verb
미루다,미뤄요,미뤘어요,미룰 거예요,"to delay, postpone, put off, procrastinate; shift blame; guess, judge, infer",verb
밀리다,밀려요,밀렸어요,밀릴 거예요,"to be delayed, behind, overdue; no match for, overpowered",verb
망설이다,망설이에요,망설였어요,망설일 거예요,"to hesitate, be hesitant",verb
보내다,보내요,보냈어요,보낼 거예요,to send; pass (spend) time,verb
부치다,부쳐요,부쳤어요,부칠 거예요,"to mail, ship, send; fry; put (something to a vote); be beyond one's capability; cultivate",verb
지나다,지나요,지났어요,지날 거예요,"to pass, go by",verb
지나가다,지나가요,지나갔어요,지나갈 거예요,"to go through, pass by, go by; tolerate",verb
지나치다,지나쳐요,지나쳤어요,지나칠 거예요,"to be extreme, excessive, go too far, be too much; pass by, go past; neglect",verb
거치다,거쳐요,거쳤어요,겨칠 거예요,"to go through (a process or stage [something that could block you]), pass (through); be stuck, hesitate; be examined",verb
건네다,건네요,건넸어요,건넬 거예요,"to pass, hand over, deliver; speak to",verb
건너다,건너요,건넜어요,건널 거예요,"to cross (over), go across; be passed on, skip",verb
건너가다,건너가요,건너갔어요,건너갈 거예요,"to cross, go across",verb
날다,날아요,날았어요,날 거예요,"to fly; move fast, run away",verb
날아가다,날아가요,날아갔어요,날아갈 거예요,"to fly away, be blown; be gone, lost",verb
오르다,올라요,올랐어요,오를 거예요,"to go up, ascend, climb up, get on; rise, be promoted, raised; increase, appreciate, advance",verb
올라가다,올라가요,올라갔어요,올라갈 거예요,"to go up, rise, ascend, increase; go northward; be submitted, be sent",verb
올라오다,올라와요,올라왔어요,올라올 거예요,"to come up, ascend",verb
올리다,올려요,올렸어요,올릴 거예요,"to raise, lift up; increase; drive up; offer; achieve, obtain",verb
뜨다,떠요,떴어요,뜰 거예요,"to float; rise, leave; open (eyes); scoop (up), cut (off); ",verb
띄우다,띄워요,띄웠어요,띄울 거예요,"to make something fly or float; send, launch; praise, compliment; entertain",verb
늘다,늘어요,늘었어요,늘 거예요,"to increase, grow, rise, gain; improve, make progress, get better (something is getting better without precise numbers)",verb
늘어나다,늘어나요,늘어났어요,늘어날 거예요,"to grow longer, stretch (length); increase",verb
늘리다,늘려요,늘렸어요,늘릴 거예요,"to (make something) increase, add, improve; extend",verb
나아가다,나아가요,나아갔어요,나아갈 거예요,"to advance, proceed, move forward (toward something), progress",verb
내리다,내려요,내렸어요,내릴 거예요,"to fall, descend; get off, come out, dismount; land; (2) lower; bring down, unload;",verb
내려오다,내려와요,내려왔어요,내려올 거예요,"to come down, descend, get off, step down; move south; be delivered; approach; be passed down",verb
내려가다,내려가요,내려갔어요,내려갈 거예요,"to go down, step down, descend; go southward; drop, be degraded; digested",verb
떨어지다,떨어져요,떨어졌어요,떨어질 거예요,"to fall, crash, drop, decline, decrease; be short of, run out; be worn out, depreciate; be delivered, given",verb
떨어뜨리다,떨어뜨려요,떨어뜨렸어요,떨어뜨릴 거예요,"to drop (something); lose; lower, devalue, depress, reduce, mark down",verb
숙이다,숙여요,숙였어요,숙일 거예요,"to drop, lower (ing your head), bow, bend; lessen",verb
빠지다,빠져요,빠졌어요,빠질 거예요,"fall out, drain, deflate",verb
넘어지다,넘어져요,넘어졌어요,넘어질 거예요,"to fall (down), trip; fail, collapse",verb
빠지다,빠져요,빠졌어요,빠질 거예요,"to fall out, come out, fall into, get into; be left out, be short (of); grow weak; be inferior, be below; addicted, indulge in",verb
무너지다,무너져요,무너졌어요,무너질 거예요,"to collapse, cave in, crumble, fall apart",verb
줄다,줄어요,줄었어요,줄 거예요,"to (something/someone) decreases, lessens, goes down, shrinks, shortens",verb
줄이다,줄여요,줄였어요,줄일 거예요,"to reduce, decrease, cut back",verb
움직이다,움직여요,움직였어요,움직일 거예요,"to move (subject moves), shift, squirm; travel, go; go into action, maneuver; influence, be influenced; function",verb
옮기다,옮겨요,옮겼어요,옮길 거예요,"to move (things, objects, broad), transfer, shift; take; transmit, spread",verb
잃다,잃어요,잃었어요,잃을 거예요,"to lose (something), be deprived of, miss (opportunity)",verb
놓치다,놓쳐요,놓쳤어요,놓칠 거예요,"to miss, let slip, fail to catch, throw away, lose, fail",verb
잃어버리다,잃어버려요,잃어버렸어요,엃어버릴 거예요,to lose something (completely); get separated from,verb
사라지다,사라져요,사라졌어요,사라질 거예요,"to disappear, vanish, go out of sight, fade away, evaporate; go (away); die",verb
없어지다,없어져요,없어졌어요,없어질 거예요,"to lose, be lost, be gone; not exist anymore, disappear; be invalid",verb
살이 빠지다,살이 빠져요,살이 빠졌어요,살이 빠질 거예요,to lose weight,verb
마르다,말라요,말랐어요,마를 거예요,"to dry, become dry; become thin, lose weight",verb
말리다,말려요,말렸어요,말릴 거예요,"to dry; make someone stop doing something, keep someone from doing; be rolled (up), be curled (up); be involved in",verb
놓다,놓아요,놓았어요,놓을 거예요,"to lay, put down, place; to let go; have done something before hand",verb
내놓다,내놓아요,내놓았어요,내놓을 거에요,"to put out, take out, release, bring out; present, submit, propose, give out",verb
놓이다,놓여요,놓였어요,놓일 거예요,"to be put, placed; feel relieved; lie down; be built",verb
두다,둬요,뒀어요,둘 거예요,"to put, place, lay; leave (behind, as is); add, put; park; establish; have",verb
넣다,넣어요,넣었어요,넣을 거예요,"to put in/on, insert, pack, add, include, deposit (more general); obtain",verb
놓아두다,놓아둬요,놓아뒀어요,놓아둘 거예요,"to leave (as is), leave alone",verb
꺼내다,꺼내요,꺼냈어요,꺼낼 거예요,"to pull (it out), take out, carry out; begin to speak, start talking",verb
끌다,끌어요,끌었어요,끌 거예요,"to pull; haul, lead, drag, drive, guide; catch, attract, draw",verb
빼다,빼요,뺐어요,뺄 거예요,"to pull out, extract, take away; subtract, withdraw; remove; count out",verb
빼앗다,빼앗아요,빼앗았어요,빼앗을 거예요,"to take away, deprive, rob (somebody of something); fascinate, captivate, occupy, take up",verb
심다,심어요,심었어요,심을 거예요,"to plant, transplant; instill",verb
밀다,밀어요,밀었어요,밀 거예요,"to push, shove, nudge; shave, scrub; back, support, push ahead with; press, flatten",verb
밀치다,밀쳐요,밀쳤어요,밀칠 거예요,"to push, shove, jostle (hard)",verb
다그치다,다그쳐요,다그쳤어요,다그칠 거예요,"to push, press (someone/with words, not physically)",verb
누르다,눌러요,눌렀어요,누를 거에요,"to press down, push down; suppress, control, restrain; oppress",verb
흔들다,흔들어요,흔들었어요,흔들 거예요,"to shake, wave, swing; shake (up)",verb
흔들리다,흔들려요,흔들렸어요,흔들릴 거예요,"to shake, sway, wave, quake; falter, waver (passive)",verb
떨다,떨어요,떨었어요,떨 거예요,"to tremble, shake (something), vibrate, shiver, quiver; shake off; use all, buy all",verb
떨리다,떨려요,떨렸어요,떨릴 거예요,"to be trembling, be shaken, shiver",verb
끄덕이다,끄덕이에요,끄덕였어요,끄덕일 거예요,"to nod, give a nod, bow (one's head)",verb
내밀다,내밀어요,내밀었어요,내밀 거에요,"to stick out, extend, hold out; offer, give; protrude; push out, force out",verb
담다,담아요,담았어요,담을 거예요,"to put into, put something into something (closer to storing something), incorporate; bottle, box (up)",verb
담기다,담겨요,담겼어요,담길 거예요,"to be put in, be included, incorporated; soaked",verb
꽂다,꽂아요,꽂았어요,꽂을 거예요,"to put into, stick (something) into",verb
주다,줘요,줬어요,줄 거예요,to give,verb
주세요,0,0,0,please give me,verb
갖다주다,갖다줘요,갖다 줬어요,갖다줄 거예요,to give away,verb
드리다,드려요,드렸어요,드릴 거예요,"to give (honoring person receiving), offer (hon.)",verb
맡다,맡아요,맡았어요,맡을 거예요,"to take charge of, take care of, manage, handle; receive, acquire; smell, sniff, scent",verb
맡기다,맡겨요,맡겼어요,맡길 거예요,"to leave something with someone, entrust, deposit, assign, delegate",verb
떠맡다,떠맡아요,떠맡았어요,떠맡을 거예요,"to take on, assume, undertake",verb
몰다,몰아요,몰았어요,몰 거예요,"to drive, steer, navigate; gather, corner; accuse",verb
이끌다,이끌어요,이끌었어요,이끌 거예요,"to lead (a group/people), guide, bring, take",verb
돕다,도와요,도왔어요,도울 거예요,"to help, assist",verb
도와주다,도와줘요,도와줬어요,도와줄 거예요,"to give help, assist, give someone a hand",verb
벌이다,벌여요,벌였어요,벌일 거예요,"to start, set up, stage (something), throw (party etc), display, launch (venture/big event)",verb
일으키다,일으켜요,일으켰어요,일으킬 거예요,"to help someone rise up, raise, set somebody upright; establish, set up, launch, revive; cause, stir up",verb
일어서다,일어서요,딜어섰어요,일어설 거예요,"to stand up, rise to one's feet; brace oneself, rise up against",verb
보다,봐요,봤어요,볼 거예요,to see,verb
보이다 ,보여요,보였어요,보일 거예요,"to be seen, visible, to look; to show (something)",verb
보여주다,보여줘요,보여줬어요,보여줄 거예요,"to show, display, let someone see (a thing); show (x) to (y)",verb
뵈다,봬요,뵀어요,뵐 거예요,"to be seen, (honorific) meet",verb
뵙다,봬요,뵀어요,뵐 거예요,to humbly see (meet)/have an audience with,verb
바라보다,바라요,바랐어요,바랄 거예요,"to look at, watch, gaze, stare; look (at), see; hope, expect; approach, come near; regard, consider",verb
쳐다보다,쳐다봐요,쳐다봤어요,쳐다볼 거예요,"to look at, stare (at); look up (at); depend (on)",verb
지켜보다,지켜봐요,지켜봤어요,지켜볼 거예요,"to monitor, wait and see, observe",verb
마주보다,마주봐요,마주봤어요,마주볼 거예요,"to look at each other, be opposite; confront",verb
찾다,찾아요,찾았어요,찾을 거예요,"to find, to look for (where); visit",verb
찾아보다,찾아봐요,찾아봤어요,찾아볼 거예요,"to look for, search (for); look something (up), consult, refer; visit",verb
찾아내다,찾아내요,찾아냈어요,찾아낼 거예요,"to find out, discover, search successfully, locate, come up with",verb
되찾다,되찾아요,되찾았어요,되찾을 거예요,"to recover, regain (something that was lost)",verb
알아보다,알아봐요,알아봤어요,알아볼 거예요,"to find out, check out, investigate, look into; recognize, identify; judge, appreciate; look out for, seek for",verb
살펴보다,살펴봐요,살펴봤어요,살펴볼 거예요,"to examine, search, check; look at, look into",verb
살피다,살펴요,살폈어요,살필 거예요,"to look (around), examine, check, search",verb
내다보다,내다봐요,내다봤어요,내다볼 거예요,"to look out (from/of); look ahead, forecast, predict",verb
들여다보다,들여다봐요,들여다봤어요,들여다볼 거예요,"to look in (inside something), look in to, peep, gaze",verb
읽다,읽어요,읽었어요,읽을 거예요,to read,verb
가르치다,가르쳐요,가르쳤어요,가르칠 거예요,to teach,verb
배우다,배워요,배웠어요,배울 거예요,to learn,verb
외우다,외워요,외웠어요,외울 거예요,to memorize,verb
애쓰다,애써요,애썼어요,애쓸 거예요,"to make efforts, try hard, strive (for) (older and used for efforts toward a specific end)",verb
적다,적어요,적었어요,적을 거예요,to write down,verb
쓰다,써요,썼어요,쓸 거예요,to write/use,verb
쓰이다,쓰여요,쓰였어요,쓰일 거예요,"to be used, serve as; be written; be bothered (about); be employeed",verb
쓸모있다,쓸모있어요,쓸모있었어요,쓸모있을 거예요,to be useful (colloquial),verb
삼다,삼아요,삼았어요,삼을 거예요,"to adopt, use a thing as, make; consider, regard, think",verb
듣다,들어요,들었어요,들을 거예요,"to hear, listen",verb
들리다,들려요,들렸어요,들을 거예요,"to be heard, to hear, to sound; be said, reach; be lifted, be raised; become sick",verb
들려오다,들려와요,들려왔어요,들려올 거예요,"to reach one's ears, be heard",verb
묻다,물어요,물었어요,물을 거예요,"to ask, interrogate; blame, criticize; bury, hide, cover; stained with; ",verb
물어보다,물어봐요,물어봤어요,물어볼 거예요,"to (try and/try to) ask, question; refer to, apply to",verb
빌다,빌어요,빌었어요,빌 거예요,"to ask, beg (for forgiveness); wish, pray; apologize",verb
여쭤보다,여쭤봐요,여쭤봤어요,여쭤볼 거예요,to ask (humb.),verb
알다,알아요,알았어요,알 거예요,to know,verb
알리다,알려요,알렸어요,알릴 거예요,"to inform, let know, make someone know something, notify, tell, publicize; introduce",verb
알아듣다,알아들어요,알아들었어요,알아들을 거예요,"to (listen/read and ) understand (got it), comprehend, follow; hear out, recognize, see",verb
알려지다,알려져요,알려졌어요,알려질 거예요,to become known; be well known,verb
깨닫다,깨달아요,깨달았어요,깨달을 거예요,"to realize, perceive, understand; find out, become conscious of",verb
기억나다,기억나요,기억났어요,기억날 거예요,"to remember, recollect (passively remembering)",verb
생각나다,생각나요,생각났어요,생각날 거예요,"to come to mind, think of, remember, be reminded of, dawn upon, occur",verb
떠오르다,떠올라요,떠올랐어요,떠오를 거예요,"to come across one's mind; rise up, come up, emerge (written)",verb
잊다,잊어요,잊었어요,잊을 거예요,to forget (formal); be unaware of,verb
까먹다,까먹어요,까먹었어요,까먹을 거예요,"to forget (general informal); peel and eat; use up, squander",verb
잊어버리다,잊어버려요,잊어버렸어요,잊어버릴 거예요,"to forget (completely)(formal), be forgetful; to remove from mind",verb
모르다,몰라요,몰랐어요,모를 거예요,to not know,verb
상관없다,상관없어요,상관없었어요,상관없을 거예요,"to not matter, not care; have nothing to do with, no relation",verb
틀리다,틀려요,틀렸어요,틀릴 거예요,"to be wrong, mistaken; make a mistake; be hopeless",verb
바뀌다,바뀌어요,바뀌었어요,바뀔 거예요,"be changed (new thing x is now y), replaced; translated; become different, turn (into)",verb
바꾸다,바꿔요,바꿨어요,바꿀 거예요,"to change; exchange, replace, trade; alter, modify; transfer, direct, put through (deliberately change something",verb
달라지다,달라져요,달라졌어요,달라질 거예요,"to change, alter, vary, become different",verb
갈아타다,갈아타요,갈아탔어요,갈아탈 거예요,"to change vehicles, transfer; change to a different brand, team, phone",verb
갈다,갈아요,갈았어요,갈 거예요,"to change, replace (non living things), renew; sharpen, grind, hone; plow, cultivate",verb
변함없다,변함없어요,변함없었어요,변함없을 거예요,"to be unchanged, constant",verb
다르다,달라요,달랐어요,다를 거예요,to be different,verb
고르다,골라요,골랐어요,고를 거예요,"to choose, pick (broad)(do something with the thing you picked)",verb
뽑다,뽑아요,뽑았어요,뽑을 거예요,"to pick, draw, pull (out/off/away), withdraw; select, choose, single out, elect; recruit, hire",verb
같다,같아요,같았어요,갈을 거예요,"to be the same, seem like, look like,, similar",verb
똑같다,똑같아요,똑같았어요,똑같을 거예요,"to be exactly the same, identical",verb
닮다,닮아요,닮았어요,닮을 거예요,"to resemble, be alike, have a similarity, look like; copy, follow",verb
짜다,짜요,짰어요,쌀 거예요,"to be salty; stingy, cheap; to plan, make; squeeze; cry",verb
풀다,풀어요,풀었어요,풀 거예요,"to untangle, unpack, open, take off, unwrap, unfasten; solve; relax, loosen up",verb
풀리다,풀려요,풀렸어요,풀릴 거예요,"to be solved, cleared up; become loose, untied; disappear, melt (away), go away",verb
맞추다,맞춰요,맞췄어요,맞출 거예요,"to set, adjust, customize; assemble, put broken pieces together; compare, verify",verb
정해지다,정해져요,정해졌어요,정해질 거예요,"to be set (time/date for something), arranged, determined; prescribed (by)",verb
만들다,만들어요,만들었어요,만들 거예요,"to make, produce, manufacture, create, build, construct; write; establish, organize, form",verb
이루다,이뤄요,이뤘어요,이룰 거에요,"to achieve, accomplish; make, form",verb
이루어지다,이루어져요,이루어졌어요,이루어질 거예요,"to come true, be achieved, reached; be formed, consist (of), made up (of)",verb
짓다,지어요,지었어요,지을 거예요,"to build, make, compose; commit; conclude; name (something); pair (with)",verb
세워지다,세워져요,세워졌어요,세워질 거예요,"to be built, be established",verb
잇다,이어요,이었어요,이을 거예요,"to connect, link; continue, follow, inherit",verb
이어지다,이어져요,이어졌어요,이어질 거예요,"to be connected; be continued, extend (passive of 잇다)",verb
매다,매요,맸어요,맬 거예요,"to tie, bind, fasten (on the body)",verb
신다,신어요,신었어요,신을 거예요,"to put on, wear, slip on (footwear)",verb
입다,입어요,입었어요,입을 거예요,"to wear; suffer, sustain; receive, get",verb
걸치다,걸쳐요,걸쳤어요,걸칠 거예요,"to wear, put on, throw (something) on; exend (from one thing to another), stretch; drink",verb
벗다,벗어요,벗었어요,벗을 거예요,"to take (clothes) off, put down, unburden; be cleared of;",verb
갈아입다,갈아입어요,갈아입었어요,갈아입을 거예요,to change clothes,verb
그리다,그려요,그렸어요,그릴 거예요,"to draw a picture; miss, long for",verb
그립다,그리워요,그리웠어요,그리울 거예요,"to be missed, be beloved; miss, long for",verb
찍다,찍어요,찍었어요,찍을 거예요,"to take a picture, take; to mark; put on makeup; print a document",verb
춤 추다,춤 춰요,춤 췄어요,춤 출 거예요,to dance (a dance),verb
추다,춰요,췄어요,출 거예요,to dance,verb
치다,쳐요,쳤어요,칠 거예요,"to play a game; hit, attack, clap; thunder",verb
때리다,때려요,때렸어요,때릴 거예요,to hit,verb
쏘다,쏴요,쐈어요,쏠 거예요,"to shoot, fire, sting; snap (at)",verb
터지다,터져요,터졌어요,터질 거예요,"to burst, blow up, explode, pop; be chapped; unravel",verb
두드리다,두드려요,두드렸어요,두드릴 거예요,"to knock, tap, rap; beat, strike",verb
던지다,던져요,던졌어요,던질 거예요,"to throw, pitch; throw oneself (into)",verb
잡다,잡아요,잡았어요,잡을 거예요,"to catch, to manage, take",verb
붙잡다,붙잡아요,붙잡았어요,붙잡을 거예요,"to (stronger) catch, hold, grasp, seize; detain",verb
잡히다,잡혀요,잡혔어요,잡힐 거예요,"to be caught, grabbed, captured, get arrested; kept in check",verb
건지다,건져요,건졌어요,견질 거예요,"to take out of water, fish (out of); take back, recover; save",verb
끼다,껴요,꼈어요,낄 거예요,"to be caught (in), be involved, trapped between; use, include, link; wear; cloud over, be foggy, be covered with",verb
지키다,지켜요,지켰어요,지킬 거예요,"to keep, retain; defend, protect, guard; stay, observe",verb
지니다,지녀요,지녔어요,지닐 거예요,"to keep, carry, have",verb
감돌다,감돌아요,감돌았어요,감돌 거예요,"to hang (in the air), linger",verb
머무르다,머물러요,머물렀어요,머무를 거예요,"to stay (temporarily), remain",verb
묵다,묵어요,묵었어요,물을 거예요,"to stay (over night); get old, stale",verb
참다,참아요,참았어요,참을 거예요,"to endure, bear, suppress, hold back, restrain oneself (from doing), tolerate (shorter term things)",verb
견디다,견뎌요,견뎠어요,견딜 거예요,"to bear, endure, tolerate, put up with; withstand, perservere (something painful, not good)",verb
버티다,버텨요,버텼어요,버틸 거예요,"to endure, hold out, withstand; support, resist, hold, not give in",verb
버리다,버려요,버렸어요,버릴 거예요,to throw away,verb
숨다,숨어요,숨었어요,숨을 거예요,"to hide (people), disappear, be hidden; (formal) conceal oneself, be in hiding",verb
숨기다,숨겨요,숨겼어요,숨길 거예요,"to hide (someone/something), conceal, be hidden",verb
감추다,감춰요,감췄어요,감출 거예요,"to hide (object), conceal, cover; disappear",verb
