,en,ko,type
256,house,집,noun
257,yes,예,u
258,after,~ 후에,conj
259,since,~부터,conj
260,long,긴,adv
261,provide,제공하다,verb
262,service,서비스,noun
263,around,주위에,prep
264,friend,친구,noun
265,important,중요한,adj
266,father,아버지,noun
267,sit,앉다,verb
268,away,떨어져 있는,adv
269,until,~까지,conj
270,power,힘,noun
271,hour,시,noun
272,game,게임,noun
273,often,자주,adv
274,yet,아직,adv
275,line,선,noun
276,political,정치적인,adj
277,end,끝,noun
278,among,의 사이에,prep
279,ever,항상,adv
280,stand,서다,verb
281,bad,나쁜,adj
282,lose,잃다,verb
283,however,하지만,adv
284,member,회원,noun
285,pay,지불,verb
286,law,법,noun
287,meet,만나다,verb
288,car,자동차,noun
289,city,도시,noun
290,almost,거의,adv
291,include,포함,verb
292,continue,계속하다,verb
293,set,세트,verb
294,later,나중에,adv
295,community,지역 사회,noun
296,much,많이,adv
297,name,이름,noun
298,five,다섯,m
299,once,한 번,adv
300,white,하얀,adj
301,least,최소,adv
302,president,대통령,noun
303,learn,배우다,verb
304,real,진짜,adj
305,change,변화,verb
306,team,팀,noun
307,minute,분,noun
308,best,베스트,adj
309,several,몇몇의,det
310,idea,아이디어,noun
311,kid,어린이,noun
312,body,신체,noun
313,information,정보,noun
314,nothing,아무것도 아님,pron
315,ago,~ 전에,adv
316,right,오른쪽,adj
317,lead,선두,verb
318,social,사회의,adj
319,understand,이해하다,verb
320,whether,~이든,conj
321,back,뒤,noun
322,watch,보다,verb
323,together,함께,adv
324,follow,따르다,verb
325,around,주위에,adv
326,parent,부모의,noun
327,only,뿐,adj
328,stop,멈추다,verb
329,face,얼굴,noun
330,anything,아무것,pron
331,create,만들다,verb
332,public,공공의,adj
333,already,이미,adv
334,speak,말하다,verb
335,others,기타,noun
336,read,읽다,verb
337,level,수준,noun
338,allow,허용하다,verb
339,add,추가하다,verb
340,office,사무실,noun
341,spend,경비,verb
342,door,문,noun
343,health,건강,noun
344,person,사람,noun
345,art,미술,noun
346,sure,확실한,adj
347,such,그런,prep
348,war,전쟁,noun
349,history,역사,noun
350,party,파티,noun
351,within,이내에,prep
352,grow,자라다,verb
353,result,결과,noun
354,open,열려 있는,verb
355,change,변화,noun
356,morning,아침,noun
357,walk,걷다,verb
358,reason,이유,noun
359,low,낮은,adj
360,win,이기다,verb
361,research,연구,noun
362,girl,여자,noun
363,guy,남자,noun
364,early,일찍,adj
365,food,음식,noun
366,before,~ 전에,conj
367,moment,순간,noun
368,himself,그 자신,pron
369,air,공기,noun
370,teacher,선생님,noun
371,force,힘,noun
372,offer,권하다,verb
373,enough,충분한,adv
374,both,둘 다,adv
375,education,교육,noun
376,across,가로질러,prep
377,although,하지만,conj
378,remember,기억하다,verb
379,foot,발,noun
380,second,초,m
381,boy,소년,noun
382,maybe,아마도,adv
383,toward,~ 을 향하여,prep
384,able,할 수 있는,adj
385,age,나이,noun
386,off,끄다,prep
387,policy,정책,noun
388,everything,모든 것,pron
389,love,사랑,verb
390,process,프로세스,noun
391,music,음악,noun
392,including,포함,prep
393,consider,고려하다,verb
394,appear,나타나다,verb
395,actually,실제로,adv
396,buy,구입,verb
397,probably,아마,adv
398,human,인간,adj
399,wait,기다리다,verb
400,serve,제공하다,verb
401,market,시장,noun
402,die,주사위,verb
403,send,보내다,verb
404,expect,예상하다,verb
405,home,집,adv
406,sense,감각,noun
407,build,짓다,verb
408,stay,머무르다,verb
409,fall,떨어지다,verb
410,oh,오,u
411,nation,국가,noun
412,plan,계획,noun
413,cut,자르다,verb
414,college,대학,noun
415,interest,관심,noun
416,death,죽음,noun
417,course,강의,adv
418,someone,누구,pron
419,experience,경험,noun
420,behind,뒤에,prep
421,reach,도달하다,verb
422,local,현지의,adj
423,kill,죽이다,verb
424,six,여섯,m
425,remain,남아있다,verb
426,effect,효과,noun
427,use,사용,noun
428,yeah,응,u
429,suggest,제안하다,verb
430,class,수업,noun
431,control,제어,noun
432,raise,들어올리다,verb
433,care,케어,noun
434,perhaps,아마도,adv
435,little,작은,adv
436,late,늦은,adj
437,hard,딱딱한,adj
438,field,필드,noun
439,else,또 다른,adv
440,pass,통과하다,verb
441,former,이전의,det
442,sell,팔다,verb
443,major,주요한,adj
444,sometimes,때때로,adv
445,require,필요하다,verb
446,along,~을 따라,prep
447,development,개발,noun
448,themselves,그들 자신,pron
449,report,보고서,verb
450,role,역할,noun
451,better,더 나은,adj
452,economic,간결한,adj
453,effort,노력,noun
454,up,위로,prep
455,decide,결정하다,verb
456,rate,비율,noun
457,strong,강한,adj
458,possible,가능한,adj
459,heart,마음,noun
460,drug,의약품,noun
461,show,보여 주다,noun
462,leader,지도자,noun
463,light,빛,noun
464,voice,목소리,noun
465,wife,부인,noun
466,whole,전부의,adj
467,police,경찰,noun
468,mind,정신,noun
469,finally,마지막으로,adv
470,pull,당기다,verb
471,return,반품,verb
472,free,무료,adj
473,military,군대,adj
474,price,가격,noun
475,report,보고서,noun
476,less,더 적은,adv
477,according,~에 따라,prep
478,decision,결정,noun
479,explain,설명,verb
480,son,아들,noun
481,hope,희망,verb
482,even,조차,conj
483,develop,개발하다,verb
484,view,보다,noun
485,relationship,관계,noun
486,carry,나르다,verb
487,town,도시,noun
488,road,도로,noun
489,drive,운전하다,verb
490,arm,팔,noun
491,TRUE,진실,adj
492,federal,연방,adj
493,break,부서지다,verb
494,better,더 나은,adv
495,difference,차이점,noun
496,thank,감사하다,verb
497,receive,받다,verb
498,value,값,noun
499,international,국제적인,adj
500,building,건물,noun
501,action,동작,noun
502,full,가득한,adj
503,model,모델,noun
504,join,가입하다,verb
505,season,계절,noun
506,society,사회,noun
507,because,왜냐하면,prep
508,tax,세,noun
509,director,감독,noun
510,early,일찍,adv
511,position,위치,noun
512,player,플레이어,noun
513,agree,동의하다,verb
514,especially,특히,adv
515,record,기록,noun
516,pick,선택하다,verb
517,wear,입다,verb
518,paper,종이,noun
519,special,특별한,adj
520,space,우주,noun
521,ground,지면,noun
522,form,형태,noun
523,support,지원하다,verb
524,event,이벤트,noun
525,official,공식적인,noun
526,whose,누구,det
527,matter,문제,noun
528,everyone,여러분,pron
529,center,센터,noun
530,couple,커플,noun
531,site,대지,noun
532,end,끝,verb
533,project,프로젝트,noun
534,hit,때리다,verb
535,base,베이스,verb
536,activity,활동,noun
537,star,별,noun
538,table,테이블,noun
539,need,필요,noun
540,court,법원,noun
541,produce,생산하다,verb
542,eat,먹다,verb
543,American,미국 사람,noun
544,teach,가르치다,verb
545,oil,기름,noun
546,half,반,det
547,situation,상황,noun
548,easy,쉬운,adj
549,cost,비용,noun
550,industry,산업,noun
551,figure,수치,noun
552,face,얼굴,verb
553,street,거리,noun
554,image,영상,noun
555,itself,그 자체,pron
556,phone,핸드폰,noun
557,either,어느 하나,adv
558,data,데이터,noun
559,cover,씌우다,verb
560,quite,상당히,adv
561,picture,그림,noun
562,clear,분명한,adj
563,practice,관행,noun
564,piece,조각,noun
565,land,나라,noun
566,recent,최근의,adj
567,describe,설명하다,verb
568,product,제품,noun
569,doctor,의사,noun
570,wall,벽,noun
571,patient,인내심 있는,noun
572,worker,노동자,noun
573,news,소식,noun
574,test,테스트,noun
575,movie,영화,noun
576,certain,확실한,adj
577,north,북쪽,noun
578,love,사랑,noun
579,personal,개인의,adj
580,open,열려 있는,adj
581,support,지원하다,noun
582,simply,간단히,adv
583,third,제삼,m
584,technology,기술,noun
585,catch,잡다,verb
586,step,단계,noun
587,baby,아기,noun
588,computer,컴퓨터,noun
589,type,유형,noun
590,attention,주목,noun
591,draw,그리다,verb
592,film,영화,noun
593,Republican,공화주의자,noun
594,tree,나무,noun
595,source,원천,noun
596,red,빨간색,adj
597,nearly,거의,adv
598,organization,조직,noun
599,choose,선택하다,verb
600,cause,원인,verb
601,hair,머리카락,noun
602,look,바라보다,noun
603,point,가리키다,verb
604,century,세기,noun
605,evidence,증거,noun
606,window,창문,noun
607,difficult,어려운,adj
608,listen,듣다,verb
609,soon,곧,adv
610,culture,문화,noun
611,billion,10억,m
612,chance,가능성,noun
613,brother,형제,noun
614,energy,에너지,noun
615,period,기간,noun
616,course,강의,noun
617,summer,여름,noun
618,less,더 적은,det
619,realize,깨닫다,verb
620,hundred,백,m
621,available,사용 가능,adj
622,plant,공장,noun
623,likely,~할 것 같은,adj
624,opportunity,기회,noun
625,term,기간,noun
626,short,짧은,adj
627,letter,편지,noun
628,condition,상태,noun
629,choice,선택,noun
630,place,장소,verb
631,single,하나의,adj
632,rule,규칙,noun
633,daughter,딸,noun
634,administration,관리,noun
635,south,남쪽,noun
636,husband,남편,noun
637,Congress,회의,noun
638,floor,바닥,noun
639,campaign,운동,noun
640,material,재료,noun
641,population,인구,noun
642,well,잘,prep
643,call,전화,noun
644,economy,경제,noun
645,medical,의료,adj
646,hospital,병원,noun
647,church,교회,noun
648,close,닫다,verb
649,thousand,천,m
650,risk,위험,noun
651,current,현재의,adj
652,fire,불,noun
653,future,미래,noun
654,wrong,잘못된,adj
655,involve,관련시키다,verb
656,defense,방어,noun
657,anyone,누구나,pron
658,increase,증가하다,verb
659,security,보안,noun
660,bank,은행,noun
661,myself,내 자신,pron
662,certainly,틀림없이,adv
663,west,서쪽,noun
664,sport,스포츠,noun
665,board,판자,noun
666,seek,찾다. 목표물 탐색,verb
667,per,당,prep
668,subject,주제,noun
669,officer,장교,noun
670,private,사적인,adj
671,rest,쉬다,noun
672,behavior,행동,noun
673,deal,거래,verb
674,performance,성능,noun
675,fight,싸움,verb
676,throw,던지다,verb
677,top,맨 위,noun
678,quickly,빠르게,adv
679,past,과거,adj
680,goal,목표,noun
681,second,초,noun
682,bed,침대,noun
683,order,주문하다,noun
684,author,작가,noun
685,fill,채우다,verb
686,represent,대표하다,verb
687,focus,집중하다,verb
688,foreign,외국의,adj
689,drop,하락,verb
690,plan,계획,verb
691,blood,피,noun
692,upon,...에,prep
693,agency,대행사,noun
694,push,푸시,verb
695,nature,자연,noun
696,color,색깔,noun
697,no,아니요,adv
698,recently,최근에,adv
699,store,가게,noun
700,reduce,줄이다,verb
701,sound,소리,noun
702,note,노트,verb
703,fine,좋아,adj
704,before,~ 전에,adv
705,near,가까운,prep
706,movement,움직임,noun
707,page,페이지,noun
708,enter,입력하다,verb
709,share,공유하다,verb
710,than,~보다,prep
711,common,흔한,adj
712,poor,가난한,adj
713,other,다른,pron
714,natural,자연스러운,adj
715,race,경주,noun
716,concern,우려,noun
717,series,시리즈,noun
718,significant,중요한,adj
719,similar,비슷한,adj
720,hot,더운,adj
721,language,언어,noun
722,each,각,pron
723,usually,대개,adv
724,response,응답,noun
725,dead,죽은,adj
726,rise,증가,verb
727,animal,동물,noun
728,factor,요인,noun
729,decade,10년,noun
730,article,기사,noun
731,shoot,사격,verb
732,east,동쪽,noun
733,save,저장,verb
734,seven,일곱,m
735,artist,아티스트,noun
736,away,떨어져 있는,prep
737,scene,장면,noun
738,stock,스톡,noun
739,career,직업,noun
740,despite,~에도 불구하고,prep
741,central,본부,adj
742,eight,여덟,m
743,thus,이와 같이,adv
744,treatment,치료,noun
745,beyond,그 너머에,prep
746,happy,행복하다,adj
747,exactly,바로 그거죠,adv
748,protect,보호하다,verb
749,approach,접근하다,noun
750,lie,거짓말하다,verb
751,size,크기,noun
752,dog,개,noun
753,fund,축적,noun
754,serious,심각한,adj
755,occur,발생하다,verb
756,media,미디어,noun
757,ready,준비가 된,adj
758,sign,징후,noun
759,thought,생각,noun
760,list,목록,noun
761,individual,개인,noun
762,simple,단순한,adj
763,quality,품질,noun
764,pressure,압력,noun
765,accept,동의하기,verb
766,answer,대답,noun
767,hard,딱딱한,adv
768,resource,자원,noun
769,identify,식별하다,verb
770,left,왼쪽,adj
771,meeting,회의,noun
772,determine,결정하다,verb
773,prepare,준비하다,verb
774,disease,질병,noun
775,whatever,무엇이든,det
776,success,성공,noun
777,argue,다투다,verb
778,cup,컵,noun
779,particularly,특히,adv
780,amount,양,noun
781,ability,능력,noun
782,staff,직원,noun
783,recognize,인정하다,verb
784,indicate,나타내다,verb
785,character,캐릭터,noun
786,growth,성장,noun
787,loss,손실,noun
788,degree,도,noun
789,wonder,궁금하다,verb
790,attack,공격,noun
791,herself,그녀 자신,pron
792,region,지역,noun
793,television,텔레비전,noun
794,box,상자,noun
795,TV,TV,noun
796,training,훈련,noun
797,pretty,예쁜,adv
798,trade,거래,noun
799,deal,거래,noun
800,election,선거,noun
801,everybody,여러분,pron
802,physical,물리적 인,adj
803,lay,놓다,verb
804,general,일반,adj
805,feeling,감정,noun
806,standard,기준,noun
807,bill,계산서,noun
808,message,메시지,noun
809,fail,불합격,verb
810,outside,밖의,prep
811,arrive,도착하다,verb
812,analysis,분석,noun
813,benefit,혜택,noun
814,name,이름,verb
815,sex,섹스,noun
816,forward,앞으로,adv
817,lawyer,변호사,noun
818,present,현재,verb
819,section,부분,noun
820,environmental,환경,adj
821,glass,유리,noun
822,answer,대답,verb
823,skill,기술,noun
824,sister,자매,noun
825,PM,오후,adv
826,professor,교수,noun
827,operation,작업,noun
828,financial,재정적인,adj
829,crime,범죄,noun
830,stage,단계,noun
831,ok,좋아요,adv
832,compare,비교하다,verb
833,authority,권한,noun
834,miss,놓치다,verb
835,design,설계,noun
836,sort,종류,noun
837,one,하나,noun
838,act,행동,verb
839,ten,십,m
840,knowledge,지식,noun
841,gun,총,noun
842,station,역,noun
843,blue,푸른,adj
844,state,상태,verb
845,strategy,전략,noun
846,little,작은,det
847,clearly,분명히,adv
848,discuss,논의하다,verb
849,indeed,참으로,adv
850,force,힘,verb
851,truth,진실,noun
852,song,노래,noun
853,example,예시,noun
854,democratic,민주적,adj
855,check,확인하다,verb
856,environment,환경,noun
857,leg,다리,noun
858,dark,어두운,adj
859,public,공공의,noun
860,various,여러,adj
861,rather,꽤,adv
862,laugh,웃다,verb
863,guess,추측,verb
864,executive,경영진,noun
865,set,세트,noun
866,study,공부하다,verb
867,prove,입증하다,verb
868,hang,매달다,verb
869,entire,전체,adj
870,rock,바위,noun
871,design,설계,verb
872,enough,충분한,det
873,forget,잊다,verb
874,since,~부터,prep
875,claim,주장하다,verb
876,note,노트,noun
877,remove,제거하다,verb
878,manager,관리자,noun
879,help,돕다,noun
880,close,닫다,adj
881,sound,소리,verb
882,enjoy,즐겨,verb
883,network,회로망,noun
884,legal,합법적인,adj
885,religious,종교적인,adj
886,cold,추운,adj
887,form,형태,verb
888,final,결정적인,adj
889,main,기본,adj
890,science,과학,noun
891,green,초록,adj
892,memory,메모리,noun
893,card,카드,noun
894,above,~ 위에,prep
895,seat,좌석,noun
896,cell,셀,noun
897,establish,설립하다,verb
898,nice,멋진,adj
899,trial,재판,noun
900,expert,전문가,noun
901,that,저것,adv
902,spring,봄,noun
903,firm,단단한,noun
904,Democrat,민주당,noun
905,radio,라디오,noun
906,visit,방문,verb
907,management,관리,noun
908,care,케어,verb
909,avoid,피하다,verb
910,imagine,상상하다,verb
911,tonight,오늘 밤,adv
912,huge,거대한,adj
913,ball,공,noun
914,no,아니요,u
915,close,닫다,adv
916,finish,마치다,verb
917,yourself,당신 자신,pron
918,talk,말하다,noun
919,theory,이론,noun
920,impact,타격,noun
921,respond,대답하다,verb
922,statement,성명,noun
923,maintain,유지하다,verb
924,charge,요금,noun
925,popular,인기 있는,adj
926,traditional,전통적인,adj
927,onto,에,prep
928,reveal,드러내다,verb
929,direction,방향,noun
930,weapon,무기,noun
931,employee,직원,noun
932,cultural,문화,adj
933,contain,포함하다,verb
934,peace,평화,noun
935,head,머리,verb
936,control,제어,verb
937,base,베이스,noun
938,pain,통증,noun
939,apply,적용하다,verb
940,play,플레이,noun
941,measure,측정하다,noun
942,wide,넓은,adj
943,shake,떨림,verb
944,fly,파리,verb
945,interview,회견,noun
946,manage,관리하다,verb
947,chair,의자,noun
948,fish,생선,noun
949,particular,특정한,adj
950,camera,카메라,noun
951,structure,구조,noun
952,politics,정치,noun
953,perform,공연하다,verb
954,bit,조금,noun
955,weight,무게,noun
956,suddenly,갑자기,adv
957,discover,발견하다,verb
958,candidate,후보자,noun
959,top,맨 위,adj
960,production,생산,noun
961,treat,치료하다,verb
962,trip,여행,noun
963,evening,저녁,noun
964,affect,영향을 미치다,verb
965,inside,내부에,prep
966,conference,회의,noun
967,unit,단위,noun
968,best,베스트,adv
969,style,스타일,noun
970,adult,성인,noun
971,worry,걱정하다,verb
972,range,범위,noun
973,mention,언급하다,verb
974,rather,꽤,prep
975,far,멀리,adj
976,deep,깊은,adj
977,past,과거,noun
978,edge,가장자리,noun
979,individual,개인,adj
980,specific,특정한,adj
981,writer,작가,noun
982,trouble,문제,noun
983,necessary,필요한,adj
984,throughout,전역,prep
985,challenge,도전,noun
986,fear,두려움,noun
987,shoulder,어깨,noun
988,institution,기관,noun
989,middle,가운데,adj
990,sea,바다,noun
991,dream,꿈,noun
992,bar,술집,noun
993,beautiful,아름다운,adj
994,property,재산,noun
995,instead,대신에,adv
996,improve,개선하다,verb
997,stuff,물건,noun
998,detail,세부 사항,noun
999,method,방법,noun
1000,sign,징후,verb
1001,somebody,어떤 사람,pron
1002,magazine,잡지,noun
1003,hotel,호텔,noun
1004,soldier,군인,noun
1005,reflect,반영하다,verb
1006,heavy,무거운,adj
1007,sexual,성적,adj
1008,cause,원인,noun
1009,bag,가방,noun
1010,heat,열,noun
1011,fall,떨어지다,noun
1012,marriage,결혼,noun
1013,tough,힘든,adj
1014,sing,노래,verb
1015,surface,표면,noun
1016,purpose,목적,noun
1017,exist,존재하다,verb
1018,pattern,무늬,noun
1019,whom,누구,pron
1020,skin,피부,noun
1021,agent,에이전트,noun
1022,owner,소유자,noun
1023,machine,기계,noun
1024,gas,가스,noun
1025,down,아래에,prep
1026,ahead,앞으로,adv
1027,generation,세대,noun
1028,commercial,광고,adj
1029,address,주소,verb
1030,cancer,암,noun
1031,test,테스트,verb
1032,item,안건,noun
1033,reality,현실,noun
1034,coach,코치,noun
1035,step,단계,verb
1036,Mrs,부인,noun
1037,yard,마당,noun
1038,beat,이기다,verb
1039,violence,폭행,noun
1040,total,총,adj
1041,tend,추세,verb
1042,investment,투자,noun
1043,discussion,논의,noun
1044,finger,손가락,noun
1045,garden,정원,noun
1046,notice,알아채다,verb
1047,collection,수집,noun
1048,modern,현대의,adj
1049,task,직무,noun
1050,partner,파트너,noun
1051,positive,긍정적인,adj
1052,civil,예의 바른,adj
1053,kitchen,주방,noun
1054,consumer,소비자,noun
1055,shot,발사,noun
1056,budget,예산,noun
1057,wish,소망,verb
1058,painting,페인트 등,noun
1059,scientist,과학자,noun
1060,safe,안전한,adj
1061,agreement,합의,noun
1062,capital,수도,noun
1063,mouth,입,noun
1064,nor,...도 아니다,conj
1065,victim,피해자,noun
1066,newspaper,신문,noun
1067,instead,대신에,prep
1068,threat,위협,noun
1069,responsibility,책임,noun
1070,smile,웃다,verb
1071,attorney,변호사,noun
1072,score,점수,noun
1073,account,계정,noun
1074,interesting,흥미로운,adj
1075,break,부서지다,noun
1076,audience,청중,noun
1077,rich,부자,adj
1078,dinner,저녁,noun
1079,figure,수치,verb
1080,vote,투표,noun
1081,western,서부 사람,adj
1082,relate,말하다,verb
1083,travel,여행하다,verb
1084,debate,토론,noun
1085,prevent,예방하다,verb
1086,citizen,시민,noun
1087,majority,다수,noun
1088,none,없음,pron
1089,front,앞쪽,prep
1090,born,태어난,verb
1091,admit,인정하다,verb
1092,senior,상위,adj
1093,assume,추정하다,verb
1094,wind,바람,noun
1095,key,열쇠,adj
1096,professional,직업적인,adj
1097,mission,사명,noun
1098,fast,빠른,adv
1099,alone,홀로,adv
1100,customer,고객,noun
1101,suffer,시달리다,verb
1102,speech,연설,noun
1103,successful,성공적인,adj
1104,option,옵션,noun
1105,participant,참가자,noun
1106,southern,남부 지방 사투리,adj
1107,fresh,신선한,adj
1108,eventually,결국,adv
1109,no,아니요,pron
1110,forest,숲,noun
1111,video,동영상,noun
1112,global,글로벌,adj
1113,Senate,상원,noun
1114,reform,개정,noun
1115,access,입장,noun
1116,restaurant,레스토랑,noun
1117,judge,판사,noun
1118,publish,게시,verb
1119,cost,비용,verb
1120,relation,관계,noun
1121,like,처럼,conj
1122,release,풀어 주다,verb
1123,own,소유하다,verb
1124,bird,새,noun
1125,opinion,의견,noun
1126,credit,신용 거래,noun
1127,critical,위독한,adj
1128,corner,모서리,noun
1129,concerned,관심 있는,adj
1130,recall,상기하다,verb
1131,version,버전,noun
1132,stare,응시,verb
1133,safety,안전,noun
1134,effective,효과적인,adj
1135,neighborhood,이웃,noun
1136,original,원래의,adj
1137,act,행동,noun
1138,troop,군대,noun
1139,income,소득,noun
1140,directly,곧장,adv
1141,hurt,아프다,verb
1142,species,종,noun
1143,immediately,즉시,adv
1144,track,길,noun
1145,basic,기초적인,adj
1146,strike,스트라이크,verb
1147,hope,희망,noun
1148,sky,하늘,noun
1149,freedom,자유,noun
1150,absolutely,물론,adv
1151,plane,비행기,noun
1152,nobody,아무도,pron
1153,achieve,성취하다,verb
1154,object,물체,noun
1155,attitude,태도,noun
1156,labor,노동,noun
1157,refer,나타내다,verb
1158,concept,개념,noun
1159,client,고객,noun
1160,powerful,강한,adj
1161,perfect,완벽한,adj
1162,nine,아홉,m
1163,therefore,그러므로,adv
1164,conduct,지휘하다,verb
1165,announce,발표하다,verb
1166,conversation,대화,noun
1167,examine,조사하다,verb
1168,touch,접촉,verb
1169,please,제발,adv
1170,attend,참석하다,verb
1171,completely,완전히,adv
1172,vote,투표,verb
1173,variety,다양성,noun
1174,sleep,잠,verb
1175,turn,회전하다,noun
1176,involved,관련된,adj
1177,investigation,조사,noun
1178,nuclear,핵무기,adj
1179,researcher,연구원,noun
1180,press,누르다,noun
1181,conflict,갈등,noun
1182,spirit,영혼,noun
1183,experience,경험,verb
1184,replace,바꾸다,verb
1185,British,영국,adj
1186,encourage,장려하다,verb
1187,argument,논쟁,noun
1188,by,~에 의해,adv
1189,once,한 번,conj
1190,camp,캠프,noun
1191,brain,뇌,noun
1192,feature,특징,noun
1193,afternoon,오후,noun
1194,AM,오전,adv
1195,weekend,주말,noun
1196,dozen,다스,m
1197,possibility,가능성,noun
1198,along,~을 따라,adv
1199,insurance,보험,noun
1200,department,학과,noun
