,en,ko,type
1601,explore,탐구하다,verb
1602,obtain,얻다,verb
1606,surround,둘러 싸다,verb
1608,invite,초대,verb
1609,repeat,반복하다,verb
1620,predict,예측하다,verb
1626,bear,곰,verb
1639,adopt,입양하다,verb
1642,attempt,시도,verb
1643,connect,연결하다,verb
1646,belong,제자리에 있다,verb
1657,organize,정리하다,verb
1662,acknowledge,인정하다,verb
1666,record,기록,verb
1668,fear,두려움,verb
1677,struggle,고심하다,verb
1678,conclude,끝내다,verb
1685,last,마지막,verb
1688,shift,옮기다,verb
1690,mark,표시,verb
1691,locate,위치하고 있다,verb
1697,recommend,추천하다,verb
1702,generate,생성하다,verb
1704,propose,제안하십시오,verb
1725,capture,포착,verb
1726,prefer,선호하다,verb
1731,search,검색,verb
1738,feature,특징,verb
1741,link,링크,verb
1744,select,고르다,verb
1747,declare,선언하다,verb
1749,appreciate,고마워하다,verb
1754,launch,시작하다,verb
1760,defend,지키다,verb
1761,matter,문제,verb
1762,judge,판사,verb
1765,ought,영,verb
1766,ensure,보장하다,verb
1771,mix,혼합,verb
1776,wake,일어나 다,verb
1777,challenge,도전,verb
1784,warn,경고하다,verb
1796,steal,훔치다,verb
1797,pursue,추구하다,verb
1798,slip,슬립,verb
1804,influence,영향,verb
1808,blame,탓하다,verb
1809,estimate,추정,verb
1814,investigate,조사하다,verb
1827,kick,발 차기,verb
1837,solve,해결하다,verb
1850,eliminate,제거하다,verb
1853,trust,신뢰하다,verb
1855,score,점수,verb
1858,afford,형편이되다,verb
1862,confirm,확인하다,verb
1863,fix,고치다,verb
1870,rely,의존하다,verb
1872,complain,불평하다,verb
1873,issue,문제,verb
1875,back,뒤,verb
1876,range,범위,verb
1879,attract,끌어 들이다,verb
1893,file,파일,verb
1905,clear,분명한,verb
1909,pour,붓다,verb
1910,stir,휘젓다,verb
1912,clean,깨끗한,verb
1919,grant,승인하다,verb
1921,account,계정,verb
1927,stretch,뻗기,verb
1933,rest,쉬다,verb
1936,separate,분리된,verb
1943,aim,겨냥하다,verb
1944,cite,인용하다,verb
1954,divide,나누다,verb
1957,oppose,대들다,verb
1962,question,의문,verb
1968,rush,서두르다,verb
1974,employ,고용,verb
1976,dance,춤,verb
1984,match,성냥,verb
1988,lack,부족,verb
2001,emphasize,강조하다,verb
2012,decline,감소,verb
2013,invest,투자하다,verb
2017,expose,폭로하다,verb
2033,succeed,성공하십시오,verb
2035,celebrate,축하하다,verb
2039,accuse,고발하다,verb
2040,hand,손,verb
2042,land,나라,verb
2044,reject,거부하다,verb
2049,escape,탈출하다,verb
2050,cast,깁스,verb
2054,convince,확신시키다,verb
2057,assess,평가하다,verb
2066,lower,낮추다,verb
2068,approve,승인하다,verb
2077,acquire,습득하다,verb
2078,compete,경쟁하다,verb
2081,mind,정신,verb
2093,list,목록,verb
2099,regard,관심,verb
2103,knock,노크,verb
2104,review,검토,verb
2105,wrap,포장하다,verb
2108,display,표시하다,verb
2116,suspect,의심하다,verb
2125,permit,허용하다,verb
2134,scream,비명,verb
2144,drag,견인,verb
2148,recover,다시 덮다,verb
2157,arrest,체포,verb
2160,wash,씻다,verb
2166,purchase,구입,verb
2171,shout,외침,verb
2178,suppose,가정하다,verb
2182,perceive,인식하다,verb
2190,slow,느린,verb
2191,slide,미끄러지 다,verb
2194,inform,알리다,verb
2199,abandon,버리다,verb
2203,transform,변환,verb
2207,bother,신경 쓰다,verb
2208,consist,이루어져 있다,verb
2210,enable,~할 수 있게 하다,verb
2211,bend,굽히다,verb
2215,shall,~일 것이다,verb
2224,rule,규칙,verb
2227,preserve,보존하다,verb
2234,arrange,마련하다,verb
2237,reply,댓글,verb
2240,lock,자물쇠,verb
2242,deserve,~ 받을 만하다,verb
2246,tear,눈물,verb
2248,pose,포즈,verb
2252,benefit,혜택,verb
2260,resolve,해결하다,verb
2268,contact,연락하다,verb
2272,interview,회견,verb
2274,quote,인용하다,verb
2279,urge,충고하다,verb
2282,breathe,숨 쉬다,verb
2283,elect,선택된,verb
2291,pack,팩,verb
2303,implement,구현하다,verb
2317,inspire,고무하다,verb
2318,adjust,조정하다,verb
2319,retire,은퇴하십시오,verb
2322,kiss,키스,verb
2330,dominate,억누르다,verb
2333,transfer,옮기다,verb
2334,analyze,분석,verb
2336,attach,붙이다,verb
2345,coach,코치,verb
2346,exercise,연습,verb
2349,enhance,향상시키다,verb
2351,impose,부과하다,verb
2358,evaluate,평가하다,verb
2361,trade,거래,verb
2364,accomplish,성취하다,verb
2366,illustrate,설명,verb
2368,monitor,감시 장치,verb
2377,concentrate,집중하다,verb
2389,vary,달라지다,verb
2395,ring,반지,verb
2407,race,경주,verb
2410,smell,냄새,verb
2415,light,빛,verb
2416,toss,던져 올림,verb
2418,bury,묻다 ,verb
2419,pray,기도하다,verb
2426,block,차단하다,verb
2435,confront,대립합니다,verb
2437,glance,섬광,verb
2447,shape,모양,verb
2458,accompany,동반하다,verb
2465,whisper,속삭임,verb
2475,swing,그네,verb
2482,dig,파기,verb
2485,plant,공장,verb
2491,resist,저항하다,verb
2493,embrace,포옹하다,verb
2494,supply,공급,verb
2495,assist,돕다,verb
2497,construct,건설하다,verb
2502,line,선,verb
2504,date,데이트,verb
2509,secure,안전한,verb
2511,smoke,연기,verb
2517,bind,묶다,verb
2521,favor,호의,verb
2525,weigh,달다,verb
2526,install,설치,verb
2544,quit,그만두다,verb
2550,comment,논평,verb
2563,negotiate,협상,verb
2564,restore,복원하다,verb
2566,pop,팝,verb
2573,advise,권하다,verb
2582,criticize,흠잡다,verb
2592,assure,보증,verb
2601,arise,생기다,verb
2607,schedule,일정,verb
2614,dream,꿈,verb
2618,snap,스냅,verb
2621,incorporate,포함하다,verb
2624,switch,스위치,verb
2629,graduate,졸업하다,verb
2634,assign,양수인,verb
2639,wave,파도,verb
2649,yell,소리치다,verb
2661,sweep,스위프,verb
2664,spin,회전,verb
2665,house,집,verb
2673,yield,생산하다,verb
2684,wind,바람,verb
2685,found,설립하다,verb
2687,react,반응,verb
2693,communicate,의사소통하다,verb
2694,taste,맛,verb
2699,disagree,동의하지 않는다,verb
2704,advance,전진,verb
2718,proceed,진행하다,verb
2719,track,길,verb
2720,bet,내기,verb
2728,overcome,극복하다,verb
2730,occupy,점령,verb
2734,encounter,맞닥뜨리다,verb
2735,wipe,닦음,verb
2740,honor,명예,verb
2746,retain,유지하다,verb
2751,translate,번역하다,verb
2769,process,프로세스,verb
2781,interpret,해석하다,verb
2785,detect,감지하다,verb
2786,balance,균형,verb
2791,flow,흐름,verb
2793,market,시장,verb
2796,guarantee,보장하다,verb
2799,pause,정지시키다,verb
2808,withdraw,철회하다,verb
2814,testify,증언합니다,verb
2817,imply,암시합니다,verb
2824,dismiss,해고하다,verb
2828,bake,빵 굽기,verb
2829,freeze,얼다,verb
2832,sink,싱크대,verb
2834,respect,존경,verb
2843,evolve,진화합니다,verb
2855,justify,신이 옳다고 하다,verb
2862,possess,붙잡다,verb
2864,tap,수도꼭지,verb
2868,double,더블,verb
2869,swim,수영,verb
2870,tire,타이어,verb
2873,free,무료,verb
2881,relax,안심하다,verb
2895,rub,장애,verb
2899,practice,관행,verb
2901,fade,바래다,verb
2905,characterize,특성화,verb
2908,alter,바꾸다,verb
2909,spot,점,verb
2910,constitute,구성하다,verb
2912,squeeze,짜내다,verb
2914,target,표적,verb
2916,convert,전환하다,verb
2922,load,짐,verb
2925,appeal,항소,verb
2926,pretend,~인 척하다,verb
2931,split,나뉘다,verb
2932,violate,위반,verb
2951,stress,스트레스,verb
2952,adapt,적응하다,verb
2963,flee,서두르다,verb
2966,distribute,분배하다,verb
2986,doubt,의심,verb
2989,guide,가이드,verb
2998,witness,증인,verb
3002,owe,빚지다,verb
3009,sustain,지속시키다,verb
3010,mount,산,verb
3014,differ,다르다,verb
3016,store,가게,verb
3022,damage,손상,verb
3024,satisfy,풀다,verb
3029,consume,소비하다,verb
3041,fund,축적,verb
3045,trace,추적하다,verb
3057,educate,기르다,verb
3062,calculate,계산하다,verb
3064,rid,제거하다,verb
3072,waste,쓰레기,verb
3073,qualify,자격을 갖추십시오,verb
3075,derive,파생,verb
3079,impress,감탄시키다,verb
3081,resemble,닮다,verb
3084,surprise,놀라다,verb
3096,strengthen,강하게 하다,verb
3115,rate,비율,verb
3130,explode,터지다,verb
3140,prompt,즉각적인,verb
3141,request,요구,verb
3143,absorb,흡수하다,verb
3161,sue,고소하다,verb
3163,overlook,간과하십시오,verb
3164,float,뜨다,verb
3165,undergo,받다,verb
3171,assert,주장하다,verb
3175,print,인쇄,verb
3177,bite,깨물다,verb
3187,risk,위험,verb
3195,suit,정장,verb
3197,register,등록하다,verb
3198,appoint,정하다,verb
3207,sense,감각,verb
3208,dry,마른,verb
3209,wander,떠돌다,verb
3210,submit,제출하다,verb
3213,anticipate,예상하다,verb
3217,shrug,어깨를 으쓱하다,verb
3224,cope,코프,verb
3227,host,주최자,verb
3232,depict,설명,verb
3238,collapse,무너지다,verb
3239,borrow,빌리다,verb
3249,brush,브러시,verb
3251,devote,바치다,verb
3252,crack,금이 가다,verb
3255,ease,쉬움,verb
3256,seize,잡다,verb
3268,function,기능,verb
3271,distinguish,구별하다,verb
3277,correct,옳은,verb
3288,portray,그리다,verb
3291,persuade,설득하다,verb
3299,ban,반,verb
3303,admire,존경하다,verb
3306,exceed,초과하다,verb
3319,crash,크래시,verb
3328,exhibit,전시하다,verb
3339,chase,뒤쫓다다,verb
3340,document,문서,verb
3342,recruit,모집,verb
3355,swear,욕을 하다,verb
3356,defeat,패배시키다,verb
3358,reinforce,강화,verb
3374,sigh,한숨을 쉬다,verb
3375,attribute,기인하다,verb
3376,dare,도전,verb
3379,cool,시원한,verb
3397,highlight,가장 밝은 부분,verb
3398,decrease,감소하다,verb
3406,compose,구성하다,verb
3407,peer,또래,verb
3409,rank,계급,verb
3411,regulate,규제,verb
3413,shine,빛나는,verb
3415,upset,속상한,verb
3417,resign,사직하다,verb
3424,invent,꾸미다,verb
3433,interrupt,방해하다,verb
3437,concern,우려,verb
3449,hunt,사냥,verb
3452,echo,에코,verb
3457,integrate,통합,verb
3462,rent,임차료,verb
3469,delay,지연,verb
3473,shop,가게,verb
3478,finance,재원,verb
3481,beg,빌다,verb
3482,sponsor,스폰서,verb
3485,slam,쾅,verb
3488,melt,녹다,verb
3493,entitle,자격,verb
3497,park,공원,verb
3498,exclude,들어오지 못하게 하다,verb
3502,greet,환영하다,verb
3506,murder,살인,verb
3509,march,3월,verb
3511,pitch,정점,verb
3512,excuse,변명,verb
3523,fold,겹,verb
3527,reverse,뒤집다,verb
3531,flash,플래시,verb
3547,tip,팁,verb
3548,confuse,혼란시키다,verb
3554,plead,간청,verb
3555,initiate,시작하십시오,verb
3567,swallow,삼키다,verb
3568,motivate,동기 부여,verb
3569,render,세우다,verb
3571,trap,덫,verb
3572,restrict,얽매다,verb
3577,enforce,억지로 시키다,verb
3581,lend,빌려주다,verb
3585,contend,다투다,verb
3589,assemble,모으다,verb
3592,burst,터지다,verb
3598,speed,속도,verb
3599,protest,항의,verb
3602,facilitate,가능하게 하다,verb
3604,rip,삼가 고인의 명복을 빕니다,verb
3611,top,맨 위,verb
3614,label,상표,verb
3622,consult,찾다,verb
3627,forgive,용서하다,verb
3628,warm,따뜻한,verb
3631,project,프로젝트,verb
3632,drift,경향,verb
3633,drain,물을 빼다,verb
3644,hurry,서두르다,verb
3649,suck,빨다,verb
3653,leap,뛰다,verb
3669,dump,덤프,verb
3674,execute,실행하다,verb
3677,average,평균,verb
3679,tune,곡조,verb
3683,endure,견디다,verb
3692,behave,행동하다,verb
3693,administer,관리,verb
3697,guard,경비원,verb
3700,await,기다리다,verb
3702,trigger,방아쇠,verb
3703,spill,엎지르다,verb
3713,convict,죄수,verb
3716,modify,수정하다,verb
3718,award,상,verb
3724,boost,후원,verb
3730,undermine,훼손하십시오,verb
3736,survey,조사,verb
3737,research,연구,verb
3740,stuff,물건,verb
3741,govern,통치,verb
3751,accommodate,수용,verb
3752,praise,칭찬,verb
3753,injure,해치다,verb
3776,abuse,남용,verb
3780,apologize,사과하다,verb
3789,scatter,흩어지게하다,verb
3791,convey,전달하다,verb
3793,twist,트위스트,verb
3797,relieve,완화,verb
3810,suspend,유예하다,verb
3813,desire,욕구,verb
3817,resume,이력서,verb
3824,rebuild,재건,verb
3825,bounce,되튐,verb
3830,click,딸깍 하는 소리,verb
3832,signal,신호,verb
3835,dedicate,전념하다,verb
3838,carve,새기다,verb
3841,ship,배,verb
3842,scare,공황,verb
3850,rescue,구조하다,verb
3866,diagnose,진단,verb
3872,crawl,기다,verb
3889,frame,액자,verb
3893,hug,껴안다,verb
3895,punish,벌하다,verb
3918,endorse,승인,verb
3936,program,프로그램,verb
3937,picture,그림,verb
3940,age,나이,verb
3941,volunteer,자원 봉사자,verb
3945,advocate,지지하다,verb
3948,strip,조각,verb
3949,cancel,취소,verb
3950,blend,혼합하다,verb
3952,slice,일부분,verb
3953,peel,껍질,verb
3956,hesitate,망설이다,verb
3957,flip,튀기다,verb
3959,debate,토론,verb
3980,vanish,사라지다,verb
3983,trail,자취,verb
3985,confess,불다,verb
3992,enroll,싸다,verb
3993,diminish,줄다,verb
3996,value,값,verb
3997,minimize,최소화하십시오,verb
3998,chop,촙,verb
4001,isolate,분리하십시오,verb
4002,pump,펌프,verb
4023,repair,수리하다,verb
4027,prohibit,금지,verb
4033,command,명령,verb
4038,stumble,채이기,verb
4044,descend,하강,verb
4046,hook,훅,verb
4051,cooperate,협조,verb
4060,seal,밀봉하다,verb
4068,scan,주사,verb
4075,undertake,맡다,verb
4077,reserve,예약하다,verb
4087,spring,봄,verb
4092,oversee,감독,verb
4093,stem,줄기,verb
4115,credit,신용 거래,verb
4116,shock,충격,verb
4123,please,제발,verb
4125,slap,찰싹,verb
4132,donate,기부,verb
4134,tackle,태클,verb
4143,heat,열,verb
4152,tuck,턱,verb
4155,post,게시하다,verb
4159,specialize,전문,verb
4163,sail,돛,verb
4177,condemn,비난하다,verb
4182,unite,맞잡다,verb
4184,equip,갖추어 주다,verb
4187,exchange,교환,verb
4196,grin,이를 드러내고 웃다,verb
4200,bless,신을 하다,verb
4203,rock,바위,verb
4205,root,뿌리,verb
4206,conceive,배다,verb
4216,grasp,파악,verb
4223,position,위치,verb
4226,calm,침착한,verb
4229,haul,세게 끌기,verb
4230,concede,인정합니다,verb
4235,ruin,망치다,verb
4252,discourage,낙담,verb
4260,divorce,이혼,verb
4276,star,별,verb
4277,draft,초안,verb
4284,instruct,지시하십시오,verb
4289,manipulate,조종하다,verb
4293,edit,편집하다,verb
4294,whip,채찍,verb
4298,boil,종기,verb
4322,seat,좌석,verb
4326,utilize,활용하십시오,verb
4335,dissolve,디졸브,verb
4336,object,물체,verb
4342,spell,주문,verb
4343,insert,끼워 넣다,verb
4353,crush,으깨다,verb
4362,tolerate,참다,verb
4365,harm,피해,verb
4368,scramble,스크램블,verb
4371,decorate,장식,verb
4372,sort,종류,verb
4386,interact,상호 작용하십시오,verb
4391,punch,펀치,verb
4395,persist,지속,verb
4400,shed,오두막,verb
4410,foster,기르다,verb
4413,cheat,속이다,verb
4414,access,입장,verb
4415,heal,치유하다,verb
4420,exploit,악용하다,verb
4431,shove,지지,verb
4436,comprise,이루다,verb
4461,counter,카운터,verb
4467,disclose,드러내다,verb
4471,interfere,간섭하다,verb
4476,outline,개요,verb
4477,gaze,시선,verb
4480,uncover,발견,verb
4484,reward,보상,verb
4487,stimulate,자극,verb
4494,sacrifice,희생,verb
4497,compel,강요하십시오,verb
4502,proclaim,선포하십시오,verb
4504,hike,인상,verb
4516,cease,중지,verb
4517,inherit,상속,verb
4524,shrink,수축,verb
4525,model,모델,verb
4530,envision,구상,verb
4534,weaken,묽게 하다,verb
4542,deploy,배포,verb
4546,distract,괴롭히다,verb
4558,invade,침략,verb
4561,classify,나누다,verb
4562,wound,상처,verb
4564,aid,지원,verb
4569,skip,건너 뛰기,verb
4574,flood,홍수,verb
4575,dip,담그다,verb
4581,tighten,죄다,verb
4582,boast,자랑,verb
4583,pat,가볍게 두드리기,verb
4588,unfold,펴다,verb
4589,joke,농담,verb
4605,deem,간주합니다,verb
4607,sneak,좀도둑,verb
4616,disturb,방해하다,verb
4621,pile,말뚝,verb
4637,spare,여분의,verb
4639,cure,치유법,verb
4645,regret,유감,verb
4654,cling,집착,verb
4656,blink,깜박거리다,verb
4662,plunge,돌진,verb
4666,color,색깔,verb
4668,rain,비,verb
4671,steer,조종하다,verb
4675,cheer,환호,verb
4679,thrive,번창하다,verb
4681,chew,씹다,verb
4687,comply,응하다,verb
4691,transport,수송,verb
4696,scratch,할퀴다,verb
4705,compromise,타협,verb
4706,strain,부담,verb
4712,sprinkle,소량,verb
4725,arm,팔,verb
4748,forbid,금지,verb
4752,poke,찌름,verb
4753,opt,고르다,verb
4755,trouble,문제,verb
4760,soar,날기,verb
4763,enact,제정,verb
4764,round,둥근,verb
4779,remark,주목,verb
4784,exhaust,배기가스,verb
4791,circle,원,verb
4793,prevail,만연하다,verb
4800,screw,나사,verb
4808,battle,전투,verb
4812,drill,송곳,verb
4817,authorize,승인,verb
4824,pound,파운드,verb
4835,frown,찌푸린 얼굴,verb
4836,regain,회복,verb
4851,broadcast,방송,verb
4854,overwhelm,압도,verb
4856,contemplate,묵상,verb
4857,update,업데이트,verb
4858,spark,불꽃,verb
4862,speculate,추측,verb
4865,preach,설교,verb
4867,bomb,폭탄,verb
4870,provoke,화나게 하다,verb
4875,fish,생선,verb
4882,mutter,속삭임,verb
4884,depart,출발,verb
4888,soak,담그다,verb
4891,transmit,부치다,verb
4892,screen,화면,verb
4896,coordinate,동등 어구,verb
4909,specify,지정하십시오,verb
4911,frustrate,좌절합니다,verb
4912,crowd,군중,verb
4913,articulate,명확하게,verb
4921,swell,팽창,verb
4923,soften,부드럽게 하다,verb
4924,photograph,사진,verb
4925,straighten,바르게 되다,verb
4938,bow,절하다,verb
4945,weave,짜다,verb
4951,copy,복사,verb
4973,trim,손질,verb
4975,accelerate,가속,verb
4978,drown,안 들리게 하다,verb
4982,spit,침,verb
4983,harvest,수확하다,verb
4984,kneel,무릎,verb
4987,dictate,명령,verb
4995,kid,어린이,verb
